"filename", "language", "Properties", "Shell Script", "Kotlin", "SQL", "XML", "YAML", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IDomainObjectParentRef.kt", "Kotlin", 0, 0, 4, 0, 0, 0, 0, 0, 6, 2, 12
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IElementRef.kt", "Kotlin", 0, 0, 13, 0, 0, 0, 0, 0, 3, 3, 19
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IEntityFactory.kt", "Kotlin", 0, 0, 38, 0, 0, 0, 0, 0, 3, 7, 48
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IOtherMaterialList.kt", "Kotlin", 0, 0, 12, 0, 0, 0, 0, 0, 7, 4, 23
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IParameter.kt", "Kotlin", 0, 0, 7, 0, 0, 0, 0, 0, 3, 3, 13
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IParentChild.kt", "Kotlin", 0, 0, 14, 0, 0, 0, 0, 0, 11, 13, 38
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IParentRef.kt", "Kotlin", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IWebMenuPreview.kt", "Kotlin", 0, 0, 8, 0, 0, 0, 0, 0, 3, 3, 14
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IXmlBuilder.kt", "Kotlin", 0, 0, 5, 0, 0, 0, 0, 0, 3, 3, 11
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\RepLoaderService.kt", "Kotlin", 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\AgencyRepository.kt", "Kotlin", 0, 0, 8, 0, 0, 0, 0, 0, 3, 4, 15
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\AuthorRepository.kt", "Kotlin", 0, 0, 17, 0, 0, 0, 0, 0, 4, 3, 24
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\BaseArchivedRepository.kt", "Kotlin", 0, 0, 13, 0, 0, 0, 0, 0, 4, 4, 21
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\BaseMixedRepository.kt", "Kotlin", 0, 0, 9, 0, 0, 0, 0, 0, 7, 3, 19
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\CategoryRepository.kt", "Kotlin", 0, 0, 28, 0, 0, 0, 0, 0, 4, 3, 35
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\CommentRepository.kt", "Kotlin", 0, 0, 8, 0, 0, 0, 0, 0, 3, 3, 14
"c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\ConceptRepository.kt", "Kotlin", 0, 0, 36, 0, 0, 0, 0, 0, 33, 10, 79
